"cycle","individual","origin_busstop","destin_busstop","origin_zone","destin_zone","trip_type","busline","direction","bus_distance","walk_distance","wait_time","board_time","arrival_time"
120,95876,92,329,26,26,1,"L21",1,2089,0,0,170,780
120,29410,367,369,8,8,1,"L20",1,1651,287,0,530,840
120,88213,303,308,26,26,1,"L20",2,2056,135,0,300,900
120,95951,303,76,26,26,1,"L20",2,2311,177,0,300,1020
120,95954,303,76,26,26,1,"L20",2,2311,242,0,300,1020
120,95732,304,76,26,26,1,"L20",2,2017,71,0,430,1020
120,95482,329,331,26,25,1,"L21",1,937,484,0,780,1040
120,95909,328,377,26,26,1,"L21",1,1835,0,0,620,1140
120,95321,327,377,26,26,1,"L21",1,1974,138,600,620,1140
120,95807,329,377,26,26,1,"L21",1,1285,109,600,780,1140
180,76676,51,1657,22,21,1,"L6",2,3703,583,0,130,1240
180,95494,72,77,26,26,1,"L11",1,1974,15,600,620,1250
180,51905,39,410,12,24,1,"L22",1,3073,90,0,690,1280
180,64485,407,410,27,24,1,"L22",1,1661,475,600,1000,1280
180,78592,44,402,21,27,2,"L21",2,2581,423,0,420,870
180,78592,209,1671,27,27,3,"L66",2,1706,434,870,960,1320
180,44973,1182,1183,10,9,1,"L38",1,5359,0,600,820,1400
180,3478,2,265,7,16,1,"L17",1,6689,483,0,0,1420
180,78790,52,58,23,21,1,"L10",2,6642,871,0,290,1430
180,63661,1654,58,21,21,1,"L9",1,2603,385,600,760,1470
180,82318,1669,1672,24,27,1,"L66",2,2853,739,0,470,1530
180,48750,221,13,11,10,1,"L15",2,5547,345,0,380,1540
180,65880,399,379,21,26,1,"L21",2,10239,557,0,0,1630
180,95738,301,304,25,26,1,"L18",1,2156,204,600,1190,1660
180,26346,180,184,7,23,1,"L27",1,7226,217,0,0,1660
180,39345,1337,1342,9,5,1,"L4",2,1866,43,600,960,1670
180,2846,1,226,1,11,1,"L16",1,6427,0,0,0,1710
180,99407,402,302,27,25,1,"L21",2,5291,692,600,870,1720
180,77486,767,459,23,24,1,"L27",2,2102,242,600,1140,1720
180,77201,767,459,23,24,1,"L27",2,2102,333,1200,1240,1720
180,86609,71,81,25,20,1,"L11",1,5605,17,600,620,1730
180,28507,370,374,8,4,1,"L20",1,3542,366,600,990,1730
180,87597,70,72,25,26,2,"L11",1,932,46,0,350,620
180,87597,330,394,26,27,3,"L21",1,4819,443,620,880,1780
240,82879,410,186,24,23,1,"L27",1,1836,25,1200,1290,1800
240,64982,399,303,21,26,1,"L21",2,11481,727,0,0,1820
240,83358,1666,209,24,27,2,"L66",2,2194,55,0,0,850
240,83358,402,303,27,26,3,"L21",2,5585,190,850,870,1820
240,26883,862,1678,8,1,1,"L7",1,1634,60,1200,1300,1820
240,78609,158,464,23,27,1,"L5",2,2684,169,0,890,1830
240,77275,768,460,23,24,1,"L27",2,2144,0,1200,1240,1850
240,25374,180,187,7,23,1,"L27",1,8062,197,0,0,1900
240,83178,411,187,24,23,1,"L27",1,1536,245,600,1410,1900
240,45091,22,27,10,6,1,"L1",2,4205,663,600,780,1920
240,99524,402,305,27,26,1,"L21",2,6457,488,600,870,2020
240,87525,331,396,25,27,1,"L21",1,5660,1096,600,1040,2040
240,27046,370,376,8,1,1,"L20",1,5000,345,0,990,2060
240,9097,1,41,1,21,1,"L10",1,6881,586,0,0,2070
240,25282,18,41,6,21,1,"L10",1,5077,492,600,610,2070
240,17320,338,347,3,2,1,"L2",1,3386,309,0,220,2080
240,99491,403,306,27,26,1,"L21",2,5976,551,0,1080,2120
240,51668,39,407,12,27,1,"L5",1,1771,475,1200,1650,2150
240,29257,391,862,8,8,2,"L7",1,1783,80,600,990,1300
240,29257,862,864,8,8,3,"L29",1,4130,30,1300,1800,2160
240,3347,506,997,1,13,1,"L33",1,4144,82,1800,1800,2160
240,94681,330,397,26,21,1,"L21",1,6437,399,0,880,2180
