BRT_id,station_id,direction,station_order
1,24,1,0
1,4,1,1
1,1,1,2
1,2,1,3
1,8,1,4
1,3,1,5
1,5,1,6
1,6,1,7
1,7,1,8
1,32,2,0
1,31,2,1
1,30,2,2
1,28,2,3
1,48,2,4
1,27,2,5
1,26,2,6
1,29,2,7
1,45,2,8
2,24,1,0
2,14,1,1
2,15,1,2
2,16,1,3
2,17,1,4
2,18,1,5
2,39,2,0
2,38,2,1
2,37,2,2
2,35,2,3
2,46,2,4
2,45,2,5
3,24,1,0
3,19,1,1
3,20,1,2
3,21,1,3
3,22,1,4
3,23,1,5
3,44,2,0
3,43,2,1
3,42,2,2
3,41,2,3
3,40,2,4
3,45,2,5
4,24,1,0
4,14,1,1
4,13,1,2
4,12,1,3
4,11,1,4
4,10,1,5
4,9,1,6
4,33,2,0
4,34,2,1
4,36,2,2
4,32,2,3
4,47,2,4
4,46,2,5
4,45,2,6
