bus,direction,stop_index,stop_id
L1,1,0,10001
L1,1,1,10002
L1,1,2,10003
L1,1,3,10004
L1,1,4,10005
L1,1,5,10006
L1,1,6,10007
L1,1,7,10008
L1,1,8,10009
L1,1,9,10010
L1,1,10,10011
L1,1,11,10012
L1,1,12,10013
L1,1,13,10014
L1,1,14,10015
L1,1,15,10016
L1,1,16,10017
L1,1,17,10018
L1,2,0,10018
L1,2,1,10019
L1,2,2,10020
L1,2,3,10021
L1,2,4,10022
L1,2,5,10023
L1,2,6,10024
L1,2,7,10025
L1,2,8,10026
L1,2,9,10027
L1,2,10,10028
L1,2,11,10029
L1,2,12,10030
L1,2,13,10031
L1,2,14,10032
L1,2,15,10001
L10,1,0,10001
L10,1,1,10002
L10,1,2,10003
L10,1,3,10033
L10,1,4,10018
L10,1,5,10034
L10,1,6,10035
L10,1,7,10036
L10,1,8,10037
L10,1,9,10038
L10,1,10,10039
L10,1,11,10040
L10,1,12,10041
L10,1,13,10042
L10,1,14,10043
L10,1,15,10044
L10,1,16,10045
L10,1,17,10046
L10,1,18,10047
L10,1,19,10048
L10,1,20,10049
L10,2,0,10050
L10,2,1,10051
L10,2,2,10052
L10,2,3,10053
L10,2,4,10054
L10,2,5,10055
L10,2,6,10056
L10,2,7,10057
L10,2,8,10058
L10,2,9,10059
L10,2,10,10060
L10,2,11,10061
L10,2,12,10062
L10,2,13,10063
L10,2,14,10064
L10,2,15,10065
L10,2,16,10066
L10,2,17,10031
L10,2,18,10032
L10,2,19,10001
L11,1,0,10067
L11,1,1,10068
L11,1,2,10069
L11,1,3,10070
L11,1,4,10071
L11,1,5,10072
L11,1,6,10073
L11,1,7,10074
L11,1,8,10075
L11,1,9,10077
L11,1,10,10078
L11,1,11,10079
L11,1,12,10080
L11,1,13,10081
L11,1,14,10082
L11,1,15,10083
L11,1,16,10084
L11,1,17,10002
L11,1,18,10003
L11,1,19,10033
L11,1,20,10018
L11,1,21,10311
L11,1,22,10312
L11,1,23,10313
L11,1,24,10314
L11,1,25,10315
L11,1,26,10316
L11,1,27,10163
L11,1,28,125611
L11,1,29,125612
L11,1,30,125613
L11,1,31,125614
L11,1,32,125615
L11,1,33,125616
L11,1,34,125617
L11,1,35,125618
L11,1,36,125619
L11,2,0,125621
L11,2,1,125622
L11,2,2,125623
L11,2,3,125624
L11,2,4,125625
L11,2,5,125626
L11,2,6,125627
L11,2,7,125628
L11,2,8,125629
L11,2,9,10177
L11,2,10,10317
L11,2,11,10318
L11,2,12,10319
L11,2,13,10320
L11,2,14,10321
L11,2,15,10322
L11,2,16,10066
L11,2,17,10031
L11,2,18,10032
L11,2,19,10085
L11,2,20,10086
L11,2,21,10087
L11,2,22,10088
L11,2,23,10089
L11,2,24,10090
L11,2,25,10091
L11,2,26,10092
L11,2,27,10094
L11,2,28,10095
L11,2,29,10096
L11,2,30,10097
L11,2,31,10098
L11,2,32,10099
L11,2,33,10100
L11,2,34,10101
L11,2,35,10102
L12,1,0,10103
L12,1,1,10104
L12,1,2,10105
L12,1,3,10106
L12,1,4,10107
L12,1,5,10108
L12,1,6,10109
L12,1,7,10110
L12,1,8,10111
L12,1,9,10112
L12,1,10,10113
L12,1,11,10114
L12,1,12,10115
L12,1,13,10116
L12,1,14,10117
L12,1,15,10013
L12,1,16,10014
L12,1,17,10015
L12,1,18,10016
L12,1,19,10017
L12,1,20,10066
L12,1,21,10031
L12,1,22,10032
L12,1,23,10085
L12,1,24,10086
L12,1,25,10087
L12,1,26,10088
L12,1,27,10089
L12,1,28,10090
L12,1,29,10091
L12,1,30,10118
L12,1,31,10119
L12,1,32,10120
L12,1,33,10121
L12,1,34,10122
L12,1,35,10123
L12,1,36,10124
L12,1,37,10125
L12,1,38,10126
L12,1,39,10127
L12,2,0,10128
L12,2,1,10129
L12,2,2,10130
L12,2,3,10131
L12,2,4,10132
L12,2,5,10133
L12,2,6,10134
L12,2,7,10135
L12,2,8,10136
L12,2,9,10137
L12,2,10,10078
L12,2,11,10079
L12,2,12,10080
L12,2,13,10081
L12,2,14,10082
L12,2,15,10083
L12,2,16,10084
L12,2,17,10002
