ind,trip,type
5871,0,2
5871,1,3
5871,2,3
5871,3,3
5871,4,2
5871,5,3
5871,6,2
5871,7,2
5871,8,2
5871,9,2
15186,15,2
15186,16,3
15186,17,3
15186,18,3
15186,19,3
15186,20,2
15186,21,3
15186,22,3
15186,23,2
15186,24,2
15186,25,2
15186,26,2
15186,27,2
15186,28,2
15186,29,2
15186,30,3
15186,32,2
15186,33,2
15186,34,3
15186,35,2
15186,36,3
15186,38,2
15186,39,2
15186,40,2
15186,41,2
15186,42,2
15186,43,3
15186,44,2
15186,45,2
15186,46,2
15186,48,2
15186,49,3
15186,50,2
73058,52,1
73058,53,2
73058,54,3
73058,55,2
73058,56,3
73058,57,3
73058,58,3
73058,59,3
73058,60,3
73058,61,3
73058,62,2
73058,63,2
73058,67,2
73058,68,3
73058,64,2
73058,70,3
73058,71,2
73058,72,3
73058,73,3
73058,74,2
73058,75,2
73058,76,3
73058,77,2
73058,78,3
73058,79,2
73058,80,3
73058,81,2
73058,82,2
73058,83,3
73058,84,3
73058,85,2
73058,86,2
90524,87,1
75587,88,1
75587,89,1
75587,90,2
75587,91,3
75587,92,3
75587,93,3
75587,94,3
75587,95,3
75587,96,3
75587,97,3
75587,98,3
75587,99,2
75587,100,3
75587,103,3
75587,104,3
75587,105,2
75587,106,3
75587,107,2
75587,108,3
75587,109,2
75587,110,3
36268,111,1
36268,78,2
36268,112,3
36268,113,3
36268,114,2
36268,115,3
36268,116,2
36268,117,3
36268,118,2
36268,119,3
36268,120,3
36268,121,2
36268,122,3
36268,123,2
36268,124,3
36268,125,2
36268,126,3
36268,127,2
36268,128,3
36268,129,3
36268,130,2
36268,131,3
36268,132,2
36268,133,2
36268,134,2
36268,135,2
36268,136,3
36268,137,2
36268,138,3
36268,139,3
36268,140,3
36268,141,2
36268,144,2
36268,145,2
72545,146,1
72545,147,1
72545,148,2
72545,149,3
72545,150,2
72545,151,3
72545,152,3
72545,153,2
72545,154,3
72545,155,3
72545,156,3
72545,157,3
72545,158,3
72545,159,3
72545,160,3
72545,161,2
72545,162,3
72545,163,3
72545,164,2
72545,165,3
72545,166,2
72545,107,3
72545,167,2
72545,168,2
72545,169,2
72545,170,2
72545,171,2
72545,172,3
72545,173,2
72545,174,3
72545,175,2
72545,176,3
72545,177,2
72545,178,2
72545,179,2
72545,180,2
72545,181,2
72545,182,2
72545,183,2
72545,184,2
72545,185,2
72545,186,3
72545,187,2
72545,188,3
72545,189,2
72545,190,3
72545,191,3
72545,192,2
72545,193,3
72545,194,3
72545,195,2
72545,196,2
72545,197,3
67206,198,2
67206,58,3
67206,199,2
67206,200,3
67206,54,3
67206,76,3
67206,57,3
67206,59,3
67206,201,3
67206,202,3
67206,203,2
67206,204,2
67206,205,3
67206,206,2
67206,207,3
67206,208,3
78838,212,2
78838,213,3
78838,219,2
78838,220,3
78838,221,3
78838,225,2
78838,226,3
78838,227,2
78838,228,3
78838,229,2
78838,230,3
78838,231,2
78838,232,3
78838,233,3
78838,237,2
78838,243,2
78838,247,2
78838,248,3
78838,249,2
78838,250,3
78838,251,2
78838,252,3
78838,253,2
78838,254,2
76235,255,2
76235,256,3
76235,257,2
76235,258,3
76235,259,2
76235,260,3
76235,261,2
76235,262,2
76235,263,2
7787,264,2
7787,265,3
7787,266,2
7787,267,3
7787,268,2
7787,269,2
7787,270,3
7787,271,2
7787,272,3
7787,273,2
7787,274,3
7787,275,2
7787,276,2
7787,277,2
7787,278,3
7787,279,2
7787,280,2
7787,281,2
7787,282,3
7787,283,2
7787,284,2
7787,285,2
24730,286,1
24730,287,2
24730,288,3
24730,289,2
24730,290,3
24730,291,2
24730,292,3
24730,293,2
24730,294,3
24730,295,2
24730,296,2
24730,297,2
24730,298,2
24730,299,2
24730,300,2
24730,301,2
60564,302,1
60564,303,1
60564,304,2
60564,305,3
46714,306,2
46714,307,3
46714,308,3
46714,309,3
46714,310,3
46714,311,3
46714,312,3
46714,313,3
46714,314,3
46714,315,2
46714,316,2
46714,317,2
46714,318,2
46714,324,2
46714,325,3
52690,326,2
52690,327,3
52690,220,3
52690,221,3
32696,331,1
32696,332,2
32696,333,3
32696,334,3
32696,335,3
32696,336,3
32696,337,3
32696,338,2
32696,339,2
32696,340,3
32696,341,3
32696,342,3
32696,343,3
32696,344,2
32696,345,3
32696,346,2
32696,347,3
32696,348,3
32696,349,3
32696,350,2
32696,351,3
32696,352,3
32696,353,2
32696,354,3
32696,355,2
32696,356,3
32696,357,2
32696,358,2
32696,359,2
32696,360,3
32696,361,2
32696,362,2
32696,363,3
32696,364,2
32696,365,3
32696,366,2
32696,367,3
32696,368,3
32696,369,3
32696,370,2
32696,371,3
32696,372,2
32696,373,2
32696,374,2
32696,375,2
32696,376,2
32696,377,3
89140,228,1
89140,378,1
89140,379,1
89140,380,2
89140,381,3
89140,382,3
89140,383,3
89140,384,2
89140,385,3
89140,387,3
89140,389,2
89140,213,3
89140,390,2
89140,220,3
89140,221,3
89140,391,2
89140,392,3
89140,393,3
89140,394,2
89140,395,2
89140,248,3
89140,396,2
73006,397,1
73006,398,2
73006,58,3
73006,54,3
73006,399,2
73006,56,3
73006,57,3
73006,59,3
73006,207,3
73006,208,3
73006,400,2
73006,401,2
73006,402,3
73006,403,2
73006,406,2
73006,68,3
73006,70,3
73006,407,2
73006,408,3
73006,409,3
73006,410,2
73006,411,2
73006,412,3
73006,413,2
73006,80,3
73006,414,2
73006,76,3
73006,81,2
73006,82,2
73006,201,3
73006,202,3
73006,85,2
73006,86,2
19293,415,1
19293,416,1
19293,417,2
19293,418,3
19293,419,2
19293,2,3
19293,420,2
19293,421,2
19293,422,2
19293,423,2
19293,424,2
19293,425,2
19293,426,2
19293,427,3
19293,428,2
19293,429,2
19293,430,2
19293,431,2
40145,432,2
40145,433,3
40145,434,2
40145,435,3
40145,436,2
40145,437,3
40145,438,2
40145,439,3
40145,440,3
40145,441,3
40145,442,2
40145,443,3
40145,444,2
40145,445,3
40145,446,2
40145,447,3
40145,448,2
40145,449,3
40145,450,2
40145,451,2
40145,452,2
40145,453,3
40145,454,2
40145,455,3
40145,456,2
40145,457,3
40145,458,2
40145,459,3
92393,460,1
92393,389,2
92393,461,3
92393,462,3
92393,463,3
92393,464,3
92393,465,3
