ind,trip,type
86732,0,2
86732,1,3
86732,2,2
86732,3,3
86732,4,2
86732,5,2
86732,6,2
86732,7,3
21815,8,2
21815,9,3
21815,10,3
21815,11,2
21815,12,2
21815,13,2
21815,14,3
21815,15,2
21815,16,3
21815,17,2
21815,18,2
21815,19,2
21815,20,2
21815,21,2
21815,22,2
21815,23,2
21815,24,2
21815,25,2
21815,26,2
21815,27,2
43071,28,1
43071,29,1
43071,30,1
43071,31,1
43071,32,1
43071,33,2
43071,34,3
43071,35,2
43071,36,3
43071,37,2
43071,38,3
43071,39,3
43071,40,2
43071,41,2
43071,42,2
43071,43,2
43071,44,2
43071,45,3
9964,46,1
75479,47,1
75479,48,1
75479,49,2
75479,50,3
75479,51,2
75479,52,3
75479,53,2
75479,54,3
75479,55,3
75479,56,3
75479,57,3
45179,58,1
45179,59,1
45179,60,2
45179,61,3
45179,62,2
45179,63,2
45179,64,2
45179,65,2
45179,66,3
45179,67,2
45179,68,3
45179,69,3
45179,70,3
45179,71,3
45179,72,3
45179,73,3
45179,74,3
45179,75,2
45179,76,2
45179,77,2
45179,78,3
45179,79,2
45179,80,3
45179,81,3
45179,82,2
45179,83,3
45179,84,3
45179,85,3
45179,86,3
45179,87,3
45179,88,3
45179,89,2
45179,90,3
45179,91,3
45179,92,2
45179,93,2
45179,94,2
31991,95,1
31991,96,1
31991,97,1
31991,98,1
31991,99,2
31991,100,3
31991,101,2
31991,102,3
31991,103,3
31991,104,3
31991,105,2
31991,106,3
31991,107,3
31991,108,3
31991,109,2
31991,110,2
31991,111,2
31991,112,2
95711,113,1
95711,114,1
87730,115,1
87730,116,1
87730,117,1
87730,118,2
87730,119,3
87730,120,3
87730,121,2
87730,122,2
29203,123,1
10396,124,1
10396,125,1
10396,126,1
10396,127,1
10396,128,1
10396,129,1
91205,130,1
91205,131,1
91205,132,1
91205,133,2
91205,134,3
91205,135,2
91205,136,2
54676,137,1
85965,138,1
85965,139,1
85965,140,1
85965,141,1
85965,142,1
76207,143,1
76207,144,1
76207,145,1
76207,146,2
76207,147,3
76207,148,2
76207,149,2
76207,150,3
76207,151,3
76207,152,3
76207,153,3
76207,154,2
76207,155,3
76207,156,2
76207,157,3
76207,158,2
76207,159,3
76207,160,2
76207,161,3
76207,162,3
76207,163,3
76207,164,3
76207,165,2
76207,166,3
76207,167,2
76207,168,3
76207,169,2
76207,170,3
76207,171,3
76207,172,3
76207,173,3
76207,174,2
76207,175,2
26776,176,1
26776,177,1
26776,178,1
26776,179,1
26776,180,1
26776,181,1
26776,182,2
26776,183,3
26776,184,2
26776,185,3
26776,186,2
26776,187,3
91478,188,1
91478,189,1
91478,190,1
91478,191,1
43620,192,1
43620,193,1
43620,194,1
43620,195,1
43620,196,1
43620,197,1
43620,198,1
43620,199,2
43620,200,3
43620,201,2
43620,202,3
43620,203,3
83756,204,1
83756,205,2
83756,206,3
83756,207,3
83756,208,2
83756,209,2
83756,0,2
83756,210,3
83756,211,3
87640,188,1
87640,189,1
87640,212,1
87640,213,1
46970,214,1
46970,215,1
46970,216,1
46970,217,2
46970,218,3
46970,219,3
46970,220,3
46970,221,3
46970,222,2
46970,223,3
46970,224,2
46970,225,3
46970,226,3
92537,227,1
92537,228,1
92537,229,1
92537,230,1
92537,231,1
92537,232,1
63588,233,1
63588,234,2
63588,235,3
63588,236,3
63588,237,2
63588,238,2
63588,239,3
63588,240,3
63588,241,2
63588,242,2
63588,243,2
63588,53,3
63588,244,2
63588,165,3
63588,174,3
63588,245,2
63588,246,2
63588,247,2
63588,248,2
63588,249,2
63588,250,2
63588,251,2
63588,252,2
63588,253,2
63588,254,2
63588,255,2
63588,256,3
63588,257,3
63588,258,2
63588,259,3
63588,260,3
85222,261,2
85222,262,3
85222,263,2
85222,264,3
85222,265,2
85222,266,3
85222,267,2
85222,268,2
85222,269,2
85222,270,2
85222,271,3
85222,272,3
85222,273,2
85222,274,2
85222,275,2
14725,276,1
14725,277,2
14725,278,3
14725,125,2
14725,279,3
14725,280,3
14725,281,3
14725,282,3
14725,126,2
14725,283,3
61291,284,2
61291,285,3
61291,286,3
61291,287,2
61291,288,2
61291,289,2
61291,290,3
61291,291,2
61291,292,3
61291,293,2
61291,294,2
61291,295,2
61291,296,3
61291,297,3
61291,298,2
61291,299,3
61291,300,3
61291,301,2
51194,302,1
51194,303,1
51194,304,1
51194,305,1
51194,306,1
51194,307,1
51194,308,1
51194,309,1
51194,310,1
51194,311,1
51194,312,1
51194,313,1
18019,314,1
18019,278,2
18019,315,3
53230,316,1
53230,317,1
53230,318,1
53230,319,1
53230,320,1
88024,321,1
88024,133,1
88024,135,1
88024,136,1
88024,322,1
88024,323,1
81326,324,2
81326,325,3
81326,326,3
81326,327,2
81326,328,3
17316,314,1
17316,278,2
17316,315,3
22732,329,1
22732,330,1
22732,331,1
22732,332,1
22732,333,1
22732,334,2
22732,335,3
22732,336,2
22732,337,3
22732,338,3
