ind,ozone,dzone,ostop,dstop
76315,23,24,411,1664
18013,3,9,358,1335
6780,1,23,380,154
49462,11,22,259,253
81507,24,22,1663,253
51105,12,8,62,1703
67304,22,7,251,65
50520,11,27,219,194
32170,8,16,1327,351
89228,26,4,305,375
57905,21,2,1656,346
90459,26,9,91,1183
62041,21,11,40,984
61018,21,9,398,168
51621,12,25,63,70
13112,2,21,343,955
80527,24,16,1661,276
71449,23,2,411,353
64055,21,25,397,70
9276,2,1,1680,380
71464,23,2,740,1678
48880,11,19,217,238
1203,1,8,1,1703
47998,11,8,225,1702
76073,23,24,742,459
56734,21,1,954,506
39985,9,8,111,863
50678,12,1,63,506
58635,21,2,408,356
44351,10,8,12,368
67866,22,8,504,365
2913,1,11,1677,1578
67114,22,4,229,374
7920,1,25,1694,404
71172,23,1,154,376
21617,4,21,507,54
88083,26,1,76,506
31063,8,10,391,22
94083,26,25,327,71
83046,25,1,301,380
24267,5,26,1342,302
21806,4,22,507,466
71488,23,2,159,295
82789,24,27,1663,409
71904,23,2,742,1678
4413,1,21,215,954
31573,8,11,862,1574
20148,3,26,362,72
61941,21,11,44,8
96807,27,11,402,951
28369,8,5,1674,1328
61444,21,9,953,1337
15811,2,24,345,1665
2194,1,9,506,1338
7945,1,25,215,998
58097,21,2,1656,343
54991,19,9,1570,1180
7679,1,25,1694,301
30202,8,9,367,1338
89438,26,5,331,1344
93712,26,24,305,412
36382,8,26,1673,120
85535,25,21,101,1650
52456,16,1,857,376
21044,4,9,375,164
93820,26,24,308,1662
56327,21,1,981,506
63407,21,24,55,1670
27353,8,2,1698,344
44843,10,11,23,996
38232,9,2,1180,1693
65392,22,1,253,1
65065,21,27,1648,393
80026,24,9,460,162
84854,25,9,99,1337
17004,2,27,772,196
327,1,3,1,342
36627,8,26,389,93
46153,11,1,257,215
97236,27,21,191,41
76437,23,25,741,122
13098,2,21,1692,54
7259,1,24,376,1670
36858,8,26,388,329
33986,8,22,389,503
97412,27,22,211,504
10561,2,8,1692,1674
48316,11,8,255,1703
6542,1,23,380,740
48185,11,8,223,1702
76539,23,25,158,124
49175,11,21,259,400
7942,1,25,376,123
39712,9,8,167,386
55982,20,27,80,195
12720,2,21,353,1646
78703,24,3,459,342
33525,8,21,1702,954
47505,11,4,222,542
9666,2,5,295,319
49050,11,21,991,44
39266,9,8,1179,363
61331,21,9,1657,1337
13827,2,22,357,50
76839,23,26,159,90
77484,23,27,770,212
36783,8,26,1675,121
44354,10,8,22,1699
95276,27,1,191,215
56036,21,1,45,215
85666,25,21,69,57
87264,25,27,301,464
3508,1,16,215,286
16467,2,26,1678,96
16424,2,26,344,97
67111,22,4,231,375
82833,25,1,123,1695
66711,22,2,504,345
36061,8,25,365,99
40879,9,21,1162,462
1179,1,8,215,368
35406,8,24,1676,1665
38129,9,2,1336,343
38629,9,3,1338,359
15331,2,23,343,188
51558,12,23,61,769
19620,3,23,342,1652
72945,23,4,158,375
98254,27,26,403,73
86208,25,23,67,156
65714,22,1,465,506
30221,8,9,1701,1162
45332,10,22,113,465
68711,22,19,253,958
38717,9,3,177,342
26668,8,1,367,376
83580,25,2,333,1692
30499,8,9,862,1179
925,1,8,376,946
75761,23,22,156,227
55353,19,25,1582,379
78752,24,3,1668,360
70709,23,1,187,215
19717,3,24,338,1662
95589,27,2,402,1692
9005,1,27,1694,189
46803,11,2,1578,1680
78681,24,3,1670,338
22266,4,23,381,46
40197,9,8,1180,1700
22436,4,25,374,101
74387,23,9,742,1332
62423,21,16,1647,273
3188,1,11,506,984
95082,27,1,464,380
97213,27,21,409,954
13461,2,21,354,59
61529,21,10,58,112
2436,1,10,380,20
26178,7,25,4,335
14602,2,23,343,769
63776,21,24,58,460
52400,16,1,349,215
31118,8,10,1701,11
68335,22,11,465,1574
13876,2,22,355,466
97367,27,21,395,41
83607,25,2,300,347
49299,11,22,222,502
24206,5,26,1331,302
26858,8,1,391,1695
22771,4,27,542,395
46149,11,1,222,1677
33306,8,21,1673,983
91832,26,21,118,982
64907,21,26,1657,329
89289,26,4,330,381
6903,1,23,215,155
50400,11,26,224,328
73234,23,8,187,370
85764,25,21,298,54
39639,9,8,1160,363
34867,8,23,388,155
32455,8,21,386,1656
39565,9,8,167,1698
41875,9,23,1338,157
50839,12,2,38,347
87267,25,27,998,394
37542,9,1,1333,380
82047,24,24,1663,459
48339,11,8,221,364
66445,22,2,250,1678
16466,2,26,861,304
38347,9,2,1337,343
38233,9,2,1336,1678
34729,8,23,370,46
56803,21,1,955,215
54200,18,2,148,355
52963,16,8,858,1676
92301,26,21,327,45
5566,1,22,1694,51
40480,9,11,165,949
45620,10,24,317,1667
55089,19,16,1510,773
69074,22,23,501,154
81811,24,23,1665,1652
63973,21,25,57,404
7678,1,25,1695,334
29939,8,9,1702,1339
84215,25,8,69,1701
57448,21,2,399,1680
3173,1,11,376,949
17332,3,2,338,353
84443,25,8,70,1270
43397,10,1,1628,1677
11862,2,11,1679,1509
53842,16,24,291,1666
90821,26,9,328,1162
83749,25,3,71,338
59394,21,4,980,507
59255,21,4,463,507
37614,9,1,165,1677
81997,24,23,1664,411
76441,23,25,184,300
64541,21,26,399,331
47748,11,8,36,1270
85178,25,12,998,323
38438,9,2,1340,1692
59110,21,3,1649,359
50586,11,27,256,461
48319,11,8,991,370
6987,1,23,380,182
29028,8,8,389,1697
82786,24,27,1662,191
81239,24,21,1667,1654
76984,23,26,185,75
13129,2,21,295,463
95288,27,1,189,1694
9716,2,5,1692,320
61183,21,9,1656,1161
32162,8,16,1700,349
22097,4,23,374,52
75928,23,23,159,964
15323,2,23,1693,181
44863,10,12,20,37
46735,11,2,256,1691
63374,21,24,55,1661
2337,1,10,1677,139
26756,8,1,1674,380
62303,21,16,54,774
12934,2,21,261,59
52883,16,8,278,368
67423,22,8,503,1698
91765,26,19,118,1623
70854,23,1,182,1695
11771,2,11,344,223
98250,27,26,194,305
84935,25,10,335,1577
80218,24,11,1670,224
36539,8,26,864,93
42310,9,25,1337,379
71759,23,2,185,1693
41938,9,23,1336,411
53192,16,11,290,952
28542,8,5,388,1330
36174,8,25,391,124
31517,8,11,369,949
89230,26,4,79,375
31869,8,12,1327,60
95068,26,27,305,406
11820,2,11,861,217
84358,25,8,70,1699
76500,23,25,47,100
8727,1,26,506,302
7682,1,25,1695,301
29439,8,8,947,391
13794,2,22,1681,957
28591,8,5,388,1342
20309,3,26,362,121
83482,25,2,70,354
13192,2,21,354,58
8445,1,26,1677,306
97776,27,23,191,184
45478,10,23,144,770
43787,10,2,113,1681
15788,2,24,355,1665
15859,2,25,356,303
54977,19,9,234,1183
46558,11,1,255,1
12136,2,12,1678,38
29096,8,8,947,864
12835,2,21,346,955
86206,25,23,102,185
90848,26,9,93,1180
13338,2,21,354,408
18396,3,12,340,38
61254,21,9,56,1183
26942,8,1,947,1677
53379,22,23,253,768
75607,23,21,1652,54
85096,25,11,124,1509
54473,18,21,218,43
40594,9,12,1179,309
1720,1,9,376,165
78324,24,2,1664,1692
50120,11,25,989,998
13352,2,21,355,1654
77686,24,1,1670,215
38084,9,1,1162,1695
23414,5,8,319,862
54635,18,26,1688,377
91718,26,19,331,1687
95065,26,27,307,395
5940,1,23,1694,181
59702,21,6,954,322
5071,1,21,215,1649
92047,26,21,119,1655
84551,25,8,69,1327
62495,21,19,397,249
30523,8,9,391,162
56540,21,1,399,1694
49971,11,24,224,1665
96029,27,7,1658,66
86186,25,23,303,1652
78589,24,2,412,343
32550,8,21,1699,1649
98375,27,27,393,1659
67651,22,8,254,1696
77558,23,27,185,1659
94269,26,26,91,95
85200,25,12,70,309
95027,26,27,302,207
47455,11,3,987,339
79125,24,8,1668,388
8784,1,26,1677,326
18436,3,16,341,773
66914,22,3,501,359
33135,8,21,389,1655
57160,21,1,1649,1
34620,8,23,1698,769
68940,22,22,229,231
27742,8,2,1696,261
73584,23,8,182,863
70018,22,27,228,210
28888,8,7,1675,64
13396,2,21,345,59
30277,8,9,1698,1335
6179,1,23,1677,964
61159,21,9,954,164
28361,8,5,1327,319
9674,2,5,347,1345
94771,26,26,306,118
55184,19,21,1687,1647
48736,11,15,1509,385
12103,2,12,347,61
81314,24,22,1669,468
60240,21,8,40,863
14163,2,22,261,51
95519,27,2,407,347
36502,8,26,863,325
3858,1,21,506,1650
7983,1,25,380,335
80345,24,11,459,1625
89133,26,4,305,374
19605,3,23,362,186
29539,8,9,1697,163
64553,21,26,462,76
88,1,1,1694,376
96964,27,16,1659,284
56497,21,1,955,1677
91632,26,16,325,286
28793,8,7,1699,310
