id,startstop,ligne,endstop,dir,ridedist
0,11677,L9,10180,2,6449
1,10018,L16,10228,1,5200
2,10180,L23,10465,1,5000
3,10018,L3,10465,1,6500
4,11677,L9,10036,2,8149
5,10063,L30,10227,2,3682
6,11695,TX4,10018,2,3749
7,11695,TX4,10180,2,3749
8,11695,TX7,10018,2,3650
9,11695,TX7,10180,2,3650
15,10861,L28,10771,2,1874
16,10018,L6,11651,1,6899
17,10180,L9,11651,2,7050
18,10018,L10,10046,1,7075
19,10180,L13,10045,2,6299
20,10295,L17,10297,2,950
21,10322,L9,11651,2,7575
22,10017,L13,10045,2,6499
23,10295,L26,10619,2,1200
24,10295,L26,10297,2,950
25,10295,L261,10619,2,1225
26,10295,L261,10297,2,950
27,10295,L262,10619,2,1225
28,10295,L262,10297,2,975
29,10861,TX4,10862,1,3349
30,10363,L6,11651,1,17049
32,10861,TX4,10018,2,1149
33,10861,TX4,10321,2,850
34,10321,L9,11651,2,7824
35,10861,TX4,10322,2,1049
36,10016,L13,10045,2,6899
38,10861,TX9,10018,2,1150
39,10861,TX9,10321,2,899
40,10861,TX9,10322,2,1100
41,10861,TX7,10862,1,3449
42,10861,TX7,11681,1,849
43,11681,L9,11651,2,11775
44,10861,TX7,10018,2,1100
45,10861,TX7,10321,2,850
46,10861,TX7,10322,2,1050
48,10861,TX13,125611,1,2250
49,10177,L13,10045,2,10674
50,10861,TX13,10363,2,3050
52,10051,L9,11328,1,9899
53,10051,L10,10066,2,8049
54,10018,L11,10314,1,1775
55,10051,L10,10064,2,6599
56,10064,L18,10314,1,3175
57,10619,L36,10314,1,1524
58,10018,L4,11328,1,1700
59,44,BRT3,39,1,1649
60,10018,TX2,10319,1,1349
61,10018,TX3,10319,1,1250
62,10051,L13,10018,1,9150
63,10051,L13,10064,1,7750
64,10051,L13,10163,1,13300
67,10051,L13,10162,1,12850
68,10162,L36,10319,2,999
70,61,BRT3,60,2,1024
71,10051,L13,10161,1,12475
72,10161,TX2,10319,2,1050
73,10161,TX3,10319,2,850
74,10051,L6,10066,2,7724
75,10051,L6,10029,2,6424
76,10065,L18,10314,1,2700
77,10051,L6,10386,2,14049
78,11674,L7,10314,1,8549
79,10051,L6,10388,2,14824
80,10388,L9,11345,2,8599
81,10767,L27,10180,2,8700
82,10767,L27,10064,2,6975
83,10180,TX2,10319,1,1349
84,10180,TX3,10319,1,1250
85,10767,L5,10066,2,8399
86,10767,L5,10064,2,6975
87,10075,L11,125617,1,14175
88,10765,L27,10464,2,4624
89,10765,L5,10464,2,4624
90,10973,L3,10029,2,10168
91,10034,L22,10406,1,3675
92,10034,L27,10406,1,3675
93,10034,L43,10406,1,3700
94,10034,L5,10406,1,3700
95,10034,L66,11658,1,3825
96,10034,L10,10041,1,3750
97,10034,L13,10041,2,3724
98,10034,L9,10041,2,3750
99,10973,L3,10982,2,6418
100,11656,L9,10058,1,974
101,10973,L3,10983,2,6718
103,10034,L14,10189,1,3400
104,24,BRT1,23,1,3800
105,10973,L3,10987,2,8868
106,10991,TX5,10464,1,3000
107,10973,L3,10032,2,13568
108,10032,TX8,10464,1,6150
109,10764,L3,10964,1,1274
110,52,BRT1,48,2,2724
111,10370,L20,10325,1,11124
112,10319,L18,10325,2,10074
113,10319,L11,10094,2,10549
114,11674,L7,10168,1,11174
115,10111,L12,10118,1,13249
116,10388,L9,10041,2,14824
117,10042,L21,10308,2,9150
118,10388,L9,10320,2,8824
119,10320,L18,10325,2,9749
120,10320,L11,10094,2,10249
121,10388,L9,10322,2,9699
122,10016,L12,10118,1,9274
123,10370,L6,11646,1,11499
124,10399,L21,10308,2,9825
125,10370,L6,10018,1,6524
126,10180,L18,10325,2,8374
127,10370,L6,10002,1,4999
128,10032,L11,10094,2,7149
129,10032,L12,10118,1,6974
130,10370,L6,10375,1,3599
131,10507,L33,10118,1,5225
132,7002,BRT2,65,2,6900
133,7002,BRT2,66,2,5000
134,7002,BRT2,6232,2,4000
135,11697,TX14,10081,2,7099
136,10088,L18,10325,2,2099
137,11697,TX14,32,2,7949
138,10090,L21,10325,1,1275
139,10088,L11,10094,2,1824
140,10088,L12,10118,1,1649
141,11697,TX14,10375,2,3899
144,11697,TX10,10002,2,4750
145,11697,TX10,10375,2,4000
146,10460,L5,10032,2,7625
147,10054,L10,10032,2,7649
148,10160,L13,10064,1,5450
149,10029,L1,10032,2,1999
150,10160,L13,10018,1,6850
151,10066,L11,10032,2,1400
152,10066,L12,10032,1,1400
153,10160,L13,10059,1,2425
154,10214,L14,10032,2,5850
155,10066,L15,10032,2,1400
156,10029,L16,10032,2,2724
157,10066,L17,10032,2,1400
158,10029,L3,10032,2,3399
159,10066,L4,10032,2,1400
160,10029,L6,10032,2,2724
161,10160,L13,10058,1,2075
162,11672,L66,10032,2,6150
163,10018,TX1,10361,1,1249
164,10181,L13,10188,2,1849
165,10052,L6,10032,2,8674
166,10410,L27,10744,1,3174
167,10410,L27,10741,1,2050
168,10410,L5,10744,1,3199
169,10410,L5,10741,1,2075
170,10460,L22,10064,2,4775
171,10460,L22,10180,2,6500
172,10017,L12,10032,1,1899
173,10460,L22,10059,2,1750
174,10017,L15,10032,2,1925
175,10460,L22,10464,2,1500
176,10180,TX1,10361,1,1499
177,10460,L27,10064,2,4775
178,10460,L27,10180,2,6500
179,10460,L27,10059,2,1750
180,10460,L27,10464,2,1500
181,10460,L43,10064,2,4775
