id,startstop,ligne,endstop,dir,ridedist
0,376,L6,188,1,9849
1,1,L10,46,1,8850
2,1,L5,187,1,9975
3,380,L20,388,2,4900
4,388,L9,188,2,17799
5,215,L15,18,1,1824
6,180,L13,187,2,8399
7,180,L27,187,1,7850
8,180,L9,188,2,7575
9,1,L1,5,1,2174
10,34,L13,187,2,7524
11,34,L27,187,1,7000
12,34,L9,188,2,6725
13,1,L14,18,1,1775
14,1,L16,18,1,1775
15,1,L2,346,1,2675
16,1680,L9,188,2,12525
17,1,L3,18,1,1775
18,1,L4,18,1,1775
19,1,L66,18,1,1775
20,14,BRT2,6981,1,5000
21,46,BRT2,45,2,1900
22,46,BRT4,45,2,1925
23,380,TX1,180,2,2149
24,380,TX8,37,1,4275
25,37,L13,187,2,5899
26,37,L27,187,1,5375
27,37,L9,188,2,5100
28,380,TX10,388,1,4350
29,222,L16,228,1,2624
30,222,L23,465,1,2749
31,996,L30,227,2,2449
32,948,L3,465,1,4300
33,1667,L66,65,2,7025
34,5,L16,228,1,3800
35,5,L23,465,1,3925
36,5,L3,465,1,5100
37,1667,L66,61,2,4900
38,995,L30,227,2,5507
39,62,L9,1699,1,13224
40,37,L10,44,1,3424
41,1654,L6,387,2,12899
42,37,L13,44,2,3449
43,37,L27,741,1,5625
44,52,L6,387,2,14024
45,37,L5,741,1,5625
46,37,L9,398,2,2625
47,1657,L6,387,2,11549
48,62,L10,1,2,4924
49,380,L20,387,2,4600
50,62,L10,65,2,1724
51,29,L6,387,2,8074
52,62,L10,32,2,4074
53,32,TX10,1703,1,4500
54,62,L13,163,1,6799
55,317,L7,1698,2,9750
56,62,L13,65,1,1724
57,62,L14,1,2,4949
58,62,L14,65,2,1724
59,62,L14,32,2,4074
60,62,L22,65,2,1725
61,62,L27,65,2,1724
62,62,L30,990,2,1682
63,987,L6,387,2,9424
64,62,L43,65,2,1724
65,62,L5,1,2,4925
66,62,L5,65,2,1725
67,62,L5,32,2,4074
68,62,L66,1,2,4950
69,62,L66,65,2,1724
70,62,L66,32,2,4074
71,27,BRT1,29,2,1725
72,62,TX5,991,2,999
73,62,TX8,82,2,1775
74,82,L20,387,2,7350
75,62,TX8,32,2,4149
76,32,L6,387,2,5349
77,62,TX8,376,2,4300
78,542,TX14,1703,1,3750
79,251,L16,29,2,4675
80,219,L15,66,2,4575
81,18,L14,194,1,6425
82,18,L66,194,1,6600
83,219,L15,16,2,3650
84,321,TX5,194,1,6549
85,219,L15,32,2,5975
86,32,TX8,194,1,7800
87,219,L44,17,2,4074
88,17,TX5,194,1,6324
89,1625,L441,17,2,3924
90,322,TX5,194,1,6524
91,54,BRT3,45,2,7274
92,54,BRT3,2072,2,6599
93,1327,L39,363,2,2750
94,862,L7,1681,1,2625
95,862,L9,1681,2,2624
96,1327,L39,947,2,2175
97,863,TX4,351,2,3275
98,363,TX7,351,2,2624
99,863,TX13,351,1,3275
100,305,L20,381,2,8525
101,305,L18,65,1,8574
102,29,L6,381,2,4024
103,305,L18,79,1,2299
104,79,L33,542,2,4450
105,305,L18,18,1,9499
106,24,BRT2,6211,1,2900
107,24,BRT4,6211,1,2850
108,305,L18,77,1,1549
109,6992,BRT4,6212,2,5050
110,77,TX14,375,1,4324
111,77,TX6,375,2,4725
112,305,L21,79,2,2299
113,305,L21,77,2,1549
114,328,L21,398,1,8774
115,1657,L6,381,2,7499
116,69,L11,2,1,9700
117,32,L6,381,2,1300
118,69,L11,79,1,3350
119,14,BRT2,6211,1,999
120,14,BRT4,6211,1,924
121,69,L11,77,1,2575
122,92,TX14,375,1,4324
123,2,TX6,375,1,699
124,92,TX6,375,2,4725
125,2,TX10,375,1,725
126,305,TX15,131,1,1650
127,131,L33,542,2,7874
128,305,TX15,34,1,574
129,34,BRT4,6212,2,6849
130,1656,L9,1692,1,10749
131,1656,L6,32,2,6674
132,338,L2,346,1,2275
133,1656,L6,388,2,12349
134,1674,L7,1680,1,4974
135,388,L9,1680,2,5274
136,1656,L6,66,2,5249
137,18,TX4,346,1,2199
138,1656,L6,389,2,13274
139,389,TX4,346,2,4200
140,18,TX7,346,1,2299
141,1656,L6,363,2,14974
142,363,TX7,346,2,2350
143,389,TX13,346,1,4200
144,982,L3,32,2,7149
145,982,L3,66,2,5724
146,78,L11,18,1,8350
147,18,L38,1183,1,7425
148,619,L36,1162,1,6775
149,78,L18,18,1,7650
150,78,L12,18,2,8325
151,6992,BRT4,45,2,7900
152,40,L10,44,1,1724
153,1654,L6,984,2,2124
154,40,L13,44,2,1750
155,40,L27,741,1,3925
156,52,L6,984,2,3249
157,40,L5,741,1,3925
158,40,L9,398,2,899
159,983,L3,984,2,775
160,1657,L6,984,2,774
161,59,L10,65,2,3499
162,5,L3,952,1,2725
163,5,L6,952,1,2774
164,59,L10,61,2,1350
165,995,L30,951,2,3762
166,59,L13,65,1,3500
167,59,L13,61,1,1375
168,59,L22,65,2,3500
169,59,L22,61,2,1375
170,59,L27,65,2,3500
171,59,L27,61,2,1375
172,59,L43,65,2,3475
173,59,L43,61,2,1350
174,59,L5,65,2,3500
175,59,L5,61,2,1350
176,59,L66,65,2,3500
177,59,L66,61,2,1375
178,59,L9,65,1,3500
